,Teks_Clean,Teks_Clean2,Tokeniz,baku_text,stemmed_content,label
10,rt beberapa isu basi terkait    dan fakta sebenarnya bisa dilihat di  beberapa diantaranya  anies akan mengganti pancasila dengan sistem khilafah   terkait toleransi berbagai penganut agamaanies blunder soal data rumah ibadah di jakarta   anies mengkhianati prabowo untuk jadi capres  saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkalentah karena niat jahat nafsu atau kepentingan pribadibenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta,isu basi terkait fakta mengganti pancasila sistem khilafah terkait toleransi penganut blunder data rumah ibadah mengkhianati kebenaran fakta disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta mata hati buta,"['isu', 'basi', 'terkait', 'fakta', 'mengganti', 'pancasila', 'sistem', 'khilafah', 'terkait', 'toleransi', 'penganut', 'blunder', 'data', 'rumah', 'ibadah', 'mengkhianati', 'kebenaran', 'fakta', 'disangkalentah', 'niat', 'jahat', 'nafsu', 'kepentingan', 'pribadibenar', 'seringkali', 'buta', 'mata', 'hati', 'buta']","['isu', 'basi', 'terkait', 'fakta', 'mengganti', 'pancasila', 'sistem', 'khilafah', 'terkait', 'toleransi', 'penganut', 'blunder', 'data', 'rumah', 'ibadah', 'mengkhianati', 'kebenaran', 'fakta', 'disangkalentah', 'niat', 'jahat', 'nafsu', 'kepentingan', 'pribadibenar', 'seringkali', 'buta', 'mata', 'hati', 'buta']",isu basi kait fakta ganti pancasila sistem khilafah kait toleransi anut blunder data rumah ibadah khianat benar fakta disangkalentah niat jahat nafsu penting pribadibenar seringkali buta mata hati buta,Ideologi
11,rt ganjar pranowomahfud md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraganjar mahfud  ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara,menekankan persiapan kebutuhan dasar alutsista matra darat laut udaraganjar,"['menekankan', 'persiapan', 'kebutuhan', 'dasar', 'alutsista', 'matra', 'darat', 'laut', 'udaraganjar']","['menekankan', 'persiapan', 'kebutuhan', 'dasar', 'alutsista', 'matra', 'darat', 'laut', 'udaraganjar']",tekan siap butuh dasar alutsista matra darat laut udaraganjar,Pertahanan dan Keamanan
12,rt calon presiden capres nomor urut  anies baswedan  sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik download metrotvxtend di app store  play store aniesbaswedan  debatcapres,nomor kemampuannya menghadapi ketiga ketiga tema pertahanan keamanan hubungan internasional geopolitik download metrotvxtend app store play store debatcapres,"['nomor', 'kemampuannya', 'menghadapi', 'ketiga', 'ketiga', 'tema', 'pertahanan', 'keamanan', 'hubungan', 'internasional', 'geopolitik', 'download', 'metrotvxtend', 'app', 'store', 'play', 'store', 'debatcapres']","['nomor', 'kemampuannya', 'menghadapi', 'ketiga', 'ketiga', 'tema', 'pertahanan', 'keamanan', 'hubungan', 'internasional', 'geopolitik', 'download', 'metrotvxtend', 'app', 'store', 'play', 'store', 'debatcapres']",nomor mampu hadap tiga tiga tema tahan aman hubung internasional geopolitik download metrotvxtend app store play store debatcapres,Pertahanan dan Keamanan
13,capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif ganjarmahfudrebound ganjarpranowopilihanumat jnk,rencana bersinergi perguruan membawa perubahan positif,"['rencana', 'bersinergi', 'perguruan', 'membawa', 'perubahan', 'positif']","['rencana', 'bersinergi', 'perguruan', 'membawa', 'perubahan', 'positif']",rencana sinergi guru bawa ubah positif,Politik
14,dengan pendapatan apbd jumbo paling besar seindonesia mencapai rp,pendapatan apbd jumbo seindonesia mencapai rp,"['pendapatan', 'apbd', 'jumbo', 'seindonesia', 'mencapai', 'rp']","['pendapatan', 'apbd', 'jumbo', 'seindonesia', 'mencapai', 'rp']",dapat apbd jumbo indonesia capai rp,Ekonomi
15,kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih munculfenomenapakbowo dukungantulus,kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih,"['kenyataan', 'timbul', 'menghancurkan', 'pribadi', 'isinya', 'penuh', 'kebencian', 'ayahbowo', 'adalahkita', 'menimbulkan', 'dampak', 'emosional', 'pemilih']","['kenyataan', 'timbul', 'menghancurkan', 'pribadi', 'isinya', 'penuh', 'kebencian', 'ayahbowo', 'adalahkita', 'menimbulkan', 'dampak', 'emosional', 'pemilih']",nyata timbul hancur pribadi isi penuh benci ayahbowo adalahkita timbul dampak emosional pilih,Politik
16,rt mas ganjar bawa data dan ngasih pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar gak ada urusan sama waktu yang singkat,bawa data ngasih berdasar data bilang data bilang datanya wajar data gak urusan singkat,"['bawa', 'data', 'ngasih', 'berdasar', 'data', 'bilang', 'data', 'bilang', 'datanya', 'wajar', 'data', 'gak', 'urusan', 'singkat']","['bawa', 'data', 'mengasih', 'berdasar', 'data', 'bilang', 'data', 'bilang', 'datanya', 'wajar', 'data', 'enggak', 'urusan', 'singkat']",bawa data asih dasar data bilang data bilang data wajar data enggak urus singkat,Politik
18,rt  wait wait pak ada bukti pak anies gunakan politik identitas  bukankah justru ahok yang terang terangan bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu memang sulit pak,wait wait bukti politik identitas terang terangan pilkada memantik perselisihan password wifi kafir berpikir adil sulit,"['wait', 'wait', 'bukti', 'politik', 'identitas', 'terang', 'terangan', 'pilkada', 'memantik', 'perselisihan', 'password', 'wifi', 'kafir', 'berpikir', 'adil', 'sulit']","['wait', 'wait', 'bukti', 'politik', 'identitas', 'terang', 'terangan', 'pilkada', 'memantik', 'perselisihan', 'password', 'wifi', 'kafir', 'berpikir', 'adil', 'sulit']",wait wait bukti politik identitas terang terang pilkada mantik selisih password wifi kafir pikir adil sulit,Politik
19,rt siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjarmahfud di hari tuna rungu nasional  atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat pdiperjuangan  kebenaranpastimenang satyamevajayate  menangkanganjar,mengunjungi kantor tpd selatan kejutan penyandang tuna rungu simpatisan tuna rungu nasional kejutan kaos warna merah bertuliskan negara kejutan diajarkan bahasa isyarat,"['mengunjungi', 'kantor', 'tpd', 'selatan', 'kejutan', 'penyandang', 'tuna', 'rungu', 'simpatisan', 'tuna', 'rungu', 'nasional', 'kejutan', 'kaos', 'warna', 'merah', 'bertuliskan', 'negara', 'kejutan', 'diajarkan', 'bahasa', 'isyarat']","['mengunjungi', 'kantor', 'tpd', 'selatan', 'kejutan', 'penyandang', 'tuna', 'rungu', 'simpatisan', 'tuna', 'rungu', 'nasional', 'kejutan', 'kaos', 'warna', 'merah', 'bertuliskan', 'negara', 'kejutan', 'diajarkan', 'bahasa', 'isyarat']",unjung kantor tpd selatan kejut sandang tuna rungu simpatisan tuna rungu nasional kejut kaos warna merah tulis negara kejut ajar bahasa isyarat,Politik
21,calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihakganjarmahfudrebound ganjarpranowopilihanumat jnk,regulasi hukum investasi mudah dipahami,"['regulasi', 'hukum', 'investasi', 'mudah', 'dipahami']","['regulasi', 'hukum', 'investasi', 'mudah', 'dipahami']",regulasi hukum investasi mudah paham,Politik
22,rt pak michael gaya bicara keras dan terkesan emosional tapi tetap berisi¹  tidak usah jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya  anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,michael gaya bicara keras terkesan emosional berisi¹ kekerasan militer sifatnya deserve better asnawi videotron miftah,"['michael', 'gaya', 'bicara', 'keras', 'terkesan', 'emosional', 'berisi¹', 'kekerasan', 'militer', 'sifatnya', 'deserve', 'better', 'asnawi', 'videotron', 'miftah']","['michael', 'gaya', 'bicara', 'keras', 'terkesan', 'emosional', 'berisi¹', 'kekerasan', 'militer', 'sifatnya', 'deserve', 'better', 'asnawi', 'videotron', 'miftah']",michael gaya bicara keras kes emosional isi keras militer sifat deserve better asnawi videotron miftah,Politik
23,paslon  ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat dan terukurganjarmahfudrebound ganjarpranowopilihanumat jnk,regulasi hukum investor bersahabat,"['regulasi', 'hukum', 'investor', 'bersahabat']","['regulasi', 'hukum', 'investor', 'bersahabat']",regulasi hukum investor sahabat,Politik
24,rt anies sosok ayah yang penuh kehangatan    ´ “ „„ ž  pak  mmg sosok ayah yg penuh kehangatan lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes ngga kaku dan ngga buatbuat‚ pasti anakanaknya jg sering merasakan gendongan pelukan dan pelukan beliau  kekuatan sejati adalah ketenangan di pelukan ayah  aniesbubble‚,penuh kehangatan ´ “ „„ ž mmg penuh kehangatan lihat dlm tayangan video tangannya lentur menggendong luwes ngga kaku ngga buatbuat‚ anakanaknya merasakan gendongan pelukan pelukan kekuatan sejati ketenangan pelukan,"['penuh', 'kehangatan', '´', '“', '„', '„', 'ž', 'mmg', 'penuh', 'kehangatan', 'lihat', 'dlm', 'tayangan', 'video', 'tangannya', 'lentur', 'menggendong', 'luwes', 'ngga', 'kaku', 'ngga', 'buatbuat‚', 'anakanaknya', 'merasakan', 'gendongan', 'pelukan', 'pelukan', 'kekuatan', 'sejati', 'ketenangan', 'pelukan']","['penuh', 'kehangatan', '´', '“', '„', '„', 'ž', 'memang', 'penuh', 'kehangatan', 'lihat', 'dalam', 'tayangan', 'video', 'tangannya', 'lentur', 'menggendong', 'luwes', 'enggak', 'kaku', 'enggak', 'buatbuat‚', 'anakanaknya', 'merasakan', 'gendongan', 'pelukan', 'pelukan', 'kekuatan', 'sejati', 'ketenangan', 'pelukan']",penuh hangat      memang penuh hangat lihat dalam tayang video tangan lentur gendong luwes enggak kaku enggak buatbuat anakanaknya rasa gendong peluk peluk kuat sejati tenang peluk,Pertahanan dan Keamanan
25,capres ganjar pranowo nggak mainmain nih kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya ganjarmahfudrebound ganjarpranowopilihanumat jnk,nggak mainmain kolaborasi perguruan edukatif,"['nggak', 'mainmain', 'kolaborasi', 'perguruan', 'edukatif']","['enggak', 'mainmain', 'kolaborasi', 'perguruan', 'edukatif']",enggak mainmain kolaborasi guru edukatif,Politik
26,rt projo kawal prabowo gibran menang sekali putaran  projo jokowi setiadigarisrakyat,kawal putaran,"['kawal', 'putaran']","['kawal', 'putaran']",kawal putar,Politik
27,tempodotco semangat pak ‚ ‚ kami akan selalu  mu‚ ganjar mahfud hebat    debatcapres,tempodotco semangat ‚ ‚ mu‚ hebat debatcapres,"['tempodotco', 'semangat', '‚', '‚', 'mu‚', 'hebat', 'debatcapres']","['tempodotco', 'semangat', '‚', '‚', 'mu‚', 'hebat', 'debatcapres']",tempodotco semangat   mu hebat debatcapres,Politik
28,rt anies sesuai selera masyarakat sumatera barat,sesuai selera masyarakat,"['sesuai', 'selera', 'masyarakat']","['sesuai', 'selera', 'masyarakat']",sesuai selera masyarakat,Sosial Budaya
29,rt abah anies baswedan amp ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini,farhati pekanbaru kampanye akbar,"['farhati', 'pekanbaru', 'kampanye', 'akbar']","['farhati', 'pekanbaru', 'kampanye', 'akbar']",farhati pekanbaru kampanye akbar,Politik
30,atikoh beberkan solusi ganjarmahfud atasi harga pangan naik,beberkan solusi atasi harga pangan,"['beberkan', 'solusi', 'atasi', 'harga', 'pangan']","['beberkan', 'solusi', 'atasi', 'harga', 'pangan']",kan solusi atas harga pangan,Politik
31,rt giliran buruh soloraya deklarasi dukung prabowogibran  soloraya   indonesiakuatindonesiamaju,giliran buruh soloraya deklarasi soloraya,"['giliran', 'buruh', 'soloraya', 'deklarasi', 'soloraya']","['giliran', 'buruh', 'soloraya', 'deklarasi', 'soloraya']",gilir buruh soloraya deklarasi soloraya,Politik
32,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negarajnk ganjarmahfudrebound ganjarpranowopilihanumat,mengajak bersatu menjaga konstitusi aturan dasar negarajnk,"['mengajak', 'bersatu', 'menjaga', 'konstitusi', 'aturan', 'dasar', 'negarajnk']","['mengajak', 'bersatu', 'menjaga', 'konstitusi', 'aturan', 'dasar', 'negarajnk']",ajak satu jaga konstitusi atur dasar negarajnk,Ideologi
33,rt raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies amp slepet imin di jiexpo kemayoran jakarta pusat hari ini senin  januari,raja dangdut haji rhoma irama seni film terpilih desak slepet jiexpo kemayoran pusat senin januari,"['raja', 'dangdut', 'haji', 'rhoma', 'irama', 'seni', 'film', 'terpilih', 'desak', 'slepet', 'jiexpo', 'kemayoran', 'pusat', 'senin', 'januari']","['raja', 'dangdut', 'haji', 'rhoma', 'irama', 'seni', 'film', 'terpilih', 'desak', 'slepet', 'jiexpo', 'kemayoran', 'pusat', 'senin', 'januari']",raja dangdut haji rhoma irama seni film pilih desak slepet jiexpo mayor pusat senin januari,Politik
34,capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu itejnk ganjarmahfudrebound ganjarpranowopilihanumat,ruang masyarakat masukan saran evaluasi pasal karet uu itejnk,"['ruang', 'masyarakat', 'masukan', 'saran', 'evaluasi', 'pasal', 'karet', 'uu', 'itejnk']","['ruang', 'masyarakat', 'masukan', 'saran', 'evaluasi', 'pasal', 'karet', 'uu', 'itejnk']",ruang masyarakat masuk saran evaluasi pasal karet uu itejnk,Politik
35,rt ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta amp pemerintahan dg penegakan aturan aminajadulu,musuh utama gen z bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta pemerintahan penegakan aturan,"['musuh', 'utama', 'gen', 'z', 'bertekad', 'basmi', 'praktik', 'ordal', 'penerimaan', 'tenaga', 'kerja', 'sektor', 'swasta', 'pemerintahan', 'penegakan', 'aturan']","['musuh', 'utama', 'gen', 'saja', 'bertekad', 'basmi', 'praktik', 'ordal', 'penerimaan', 'tenaga', 'kerja', 'sektor', 'swasta', 'pemerintahan', 'penegakan', 'aturan']",musuh utama gen saja tekad basmi praktik ordal terima tenaga kerja sektor swasta perintah tega atur,Politik
36,debat caprescawapres  anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya  dari  jadi menteri saja tidak layak menurut paslon,caprescawapres nilai kemenhan melaksanakan kebijakan nilainya menteri layak,"['caprescawapres', 'nilai', 'kemenhan', 'melaksanakan', 'kebijakan', 'nilainya', 'menteri', 'layak']","['caprescawapres', 'nilai', 'kemenhan', 'melaksanakan', 'kebijakan', 'nilainya', 'menteri', 'layak']",caprescawapres nilai kemenhan laksana bijak nilai menteri layak,Politik
37,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit  untuk koprasi dan umkm jadi andalan bisnis lokal sukses terus  jnk ganjarmahfudrebound ganjarpranowopilihanumat,pasangan duet motor perubahan kredit koprasi umkm andalan bisnis lokal sukses,"['pasangan', 'duet', 'motor', 'perubahan', 'kredit', 'koprasi', 'umkm', 'andalan', 'bisnis', 'lokal', 'sukses']","['pasangan', 'duet', 'motor', 'perubahan', 'kredit', 'koprasi', 'umkm', 'andalan', 'bisnis', 'lokal', 'sukses']",pasang duet motor ubah kredit koprasi umkm andal bisnis lokal sukses,Ekonomi
39,rt pak aniess post has reached  likes and  on dialog capres w kadin tvonenews youtube in  days  hour  minutes  it is the fastest and highest post to reach  likes and  likes among capress members anies „ aniesatkadin,post has reached likes on dialog w kadin tvonenews youtube in days hour minutes it is fastest highest post to reach likes likes among capress members „,"['post', 'has', 'reached', 'likes', 'on', 'dialog', 'w', 'kadin', 'tvonenews', 'youtube', 'in', 'days', 'hour', 'minutes', 'it', 'is', 'fastest', 'highest', 'post', 'to', 'reach', 'likes', 'likes', 'among', 'capress', 'members', '„']","['post', 'has', 'reached', 'likes', 'on', 'dialog', 'gue', 'kadin', 'tvonenews', 'youtube', 'ini', 'days', 'hour', 'minutes', 'itu', 'is', 'fastest', 'highest', 'post', 'tapi', 'reach', 'likes', 'likes', 'among', 'capress', 'members', '„']",post has reached likes on dialog gue kadin tvonenews youtube ini days hour minutes itu is fastest highest post tapi reach likes likes among capress members ,Sosial Budaya
42,rt prabowogibran akan terapkan  program ini untuk melancarkan ekonomi biru  internasional kontan  menangseputaran,terapkan melancarkan ekonomi biru internasional kontan menangseputaran,"['terapkan', 'melancarkan', 'ekonomi', 'biru', 'internasional', 'kontan', 'menangseputaran']","['terapkan', 'melancarkan', 'ekonomi', 'biru', 'internasional', 'kontan', 'menangseputaran']",terap lancar ekonomi biru internasional kontan menangseputaran,Ekonomi
44,rt kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui,kasihan pendukung udah dibela belain masuk penjara gak diakui,"['kasihan', 'pendukung', 'udah', 'dibela', 'belain', 'masuk', 'penjara', 'gak', 'diakui']","['kasihan', 'pendukung', 'sudah', 'dibela', 'membela', 'masuk', 'penjara', 'enggak', 'diakui']",kasihan dukung sudah bela bela masuk penjara enggak aku,Politik
45,tempodotco ayo ganjar tuntaskan permasalahan yang ada di indonesia pasti bisa pasti  ‚ ‚ semuakerja‚ ganjar mahfud hebat   dulujokowisekarangganjar ayahbowo adalahkita,tempodotco ayo tuntaskan permasalahan ‚ ‚ semuakerja‚ hebat ayahbowo adalahkita,"['tempodotco', 'ayo', 'tuntaskan', 'permasalahan', '‚', '‚', 'semuakerja‚', 'hebat', 'ayahbowo', 'adalahkita']","['tempodotco', 'ayo', 'tuntaskan', 'permasalahan', '‚', '‚', 'semuakerja‚', 'hebat', 'ayahbowo', 'adalahkita']",tempodotco ayo tuntas masalah   semuakerja hebat ayahbowo adalahkita,Politik
46,rt wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo  gibran,wiranto langsung bergerak cepat dukungan,"['wiranto', 'langsung', 'bergerak', 'cepat', 'dukungan']","['wiranto', 'langsung', 'bergerak', 'cepat', 'dukungan']",wiranto langsung gerak cepat dukung,Politik
47,rt gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionist kek theres so many possibilities kalo beliau kepilih bakal regress demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif yg pasti akan didepak,gua beneran sedih susah menerima fakta war criminal zionist kek theres so many possibilities kepilih regress demokrasi otoriter menteri progresif didepak,"['gua', 'beneran', 'sedih', 'susah', 'menerima', 'fakta', 'war', 'criminal', 'zionist', 'kek', 'theres', 'so', 'many', 'possibilities', 'kepilih', 'regress', 'demokrasi', 'otoriter', 'menteri', 'progresif', 'didepak']","['gua', 'benaran', 'sedih', 'susah', 'menerima', 'fakta', 'war', 'criminal', 'zionist', 'kayak', 'theres', 'sok', 'many', 'possibilities', 'kepilih', 'regress', 'demokrasi', 'otoriter', 'menteri', 'progresif', 'didepak']",gua benar sedih susah terima fakta war criminal zionist kayak theres sok many possibilities pilih regress demokrasi otoriter menteri progresif depak,Politik
